OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue,,,
SO - 0002922,04-01-2017,15-01-2017,44,Wholesale,EUR,AXW291,83,1,6,247.90,123.95,"1,487.40",,,
SO - 0002932,04-01-2017,12-01-2017,29,Wholesale,GBP,AXW291,59,1,5,"1,112.20",544.98,"5,561.00",,,
SO - 0004007,04-01-2017,13-01-2017,39,Wholesale,NZD,AXW291,99,11,11,"1,011.70",586.79,"11,128.70",,,
SO - 0004967,04-01-2017,09-01-2017,29,Distributor,AUD,AXW291,92,8,12,"3,845.80","2,230.56","46,149.60",,,
SO - 0005147,04-01-2017,18-01-2017,48,Export,NZD,AXW291,23,11,6,"1,065.30",777.67,"6,391.80",,,
SO - 0005582,04-01-2017,11-01-2017,17,Wholesale,AUD,AXW291,70,8,7,"2,539.30","1,625.15","17,775.10",,,
SO - 0007099,04-01-2017,20-01-2017,42,Distributor,USD,AXW291,99,5,7,"3,899.40","1,598.75","27,295.80",,,
SO - 000513,05-01-2017,15-01-2017,35,Distributor,USD,AXW291,25,5,11,"3,946.30","2,012.61","43,409.30",,,
SO - 0001219,05-01-2017,20-01-2017,20,Wholesale,NZD,AXW291,54,7,5,180.90,130.25,904.50,,,
SO - 0001802,05-01-2017,10-01-2017,9,Distributor,USD,AXW291,11,13,9,"1,159.10",533.19,"10,431.90",,,
SO - 0003588,05-01-2017,15-01-2017,26,Export,NZD,AXW291,100,7,7,214.40,137.22,"1,500.80",,,
SO - 0005064,05-01-2017,11-01-2017,31,Distributor,USD,AXW291,68,11,8,"2,626.40","1,365.73","21,011.20",,,
SO - 0005739,05-01-2017,20-01-2017,37,Wholesale,GBP,AXW291,2,7,5,"1,132.30",600.12,"5,661.50",,,
SO - 0001627,06-01-2017,09-01-2017,47,Distributor,NZD,AXW291,58,14,10,"3,959.70","3,009.37","39,597.00",,,
SO - 0002047,06-01-2017,09-01-2017,46,Wholesale,AUD,AXW291,11,11,9,"1,775.50",994.28,"15,979.50",,,
SO - 0003949,06-01-2017,12-01-2017,10,Wholesale,USD,AXW291,11,7,6,"3,088.70","2,069.43","18,532.20",,,
SO - 0003973,06-01-2017,20-01-2017,4,Wholesale,USD,AXW291,80,8,7,"6,170.70","4,998.27","43,194.90",,,
SO - 0004731,06-01-2017,19-01-2017,47,Distributor,NZD,AXW291,29,11,6,"2,532.60","1,696.84","15,195.60",,,
SO - 0005824,06-01-2017,17-01-2017,21,Wholesale,NZD,AXW291,5,13,6,"1,112.20",778.54,"6,673.20",,,
SO - 0006514,06-01-2017,19-01-2017,36,Wholesale,NZD,AXW291,30,10,10,"1,078.70",431.48,"10,787.00",,,
SO - 0006820,06-01-2017,11-01-2017,20,Wholesale,NZD,AXW291,39,6,7,"1,145.70",515.57,"8,019.90",,,
SO - 0007187,06-01-2017,23-01-2017,12,Wholesale,USD,AXW291,31,7,11,"1,031.80",588.13,"11,349.80",,,
SO - 0006661,07-01-2017,14-01-2017,35,Wholesale,AUD,AXW291,95,7,6,"3,370.10","2,257.97","20,220.60",,,
SO - 0006737,07-01-2017,12-01-2017,21,Wholesale,USD,AXW291,98,7,6,"1,206.00",964.80,"7,236.00",,,
SO - 0007183,07-01-2017,23-01-2017,13,Distributor,NZD,AXW291,41,1,9,268.00,222.44,"2,412.00",,,
SO - 0002801,08-01-2017,15-01-2017,7,Distributor,AUD,AXW291,28,2,6,"1,031.80",412.72,"6,190.80",,,
SO - 0005813,08-01-2017,22-01-2017,41,Wholesale,USD,AXW291,17,1,7,"1,159.10",788.19,"8,113.70",,,
SO - 0007632,08-01-2017,13-01-2017,41,Distributor,NZD,AXW291,17,2,10,"3,939.60","1,851.61","39,396.00",,,
SO - 000992,09-01-2017,24-01-2017,49,Export,USD,AXW291,65,7,7,"3,912.80","2,778.09","27,389.60",,,
SO - 0002398,09-01-2017,13-01-2017,32,Wholesale,NZD,AXW291,42,13,12,"1,996.60","1,637.21","23,959.20",,,
SO - 0002741,09-01-2017,24-01-2017,48,Wholesale,USD,AXW291,42,7,9,"1,775.50","1,473.67","15,979.50",,,
SO - 0003918,09-01-2017,12-01-2017,31,Wholesale,AUD,AXW291,72,13,6,"1,105.50",851.24,"6,633.00",,,
SO - 0004955,09-01-2017,15-01-2017,23,Export,EUR,AXW291,33,8,8,"5,561.00","2,335.62","44,488.00",,,
SO - 0005615,09-01-2017,17-01-2017,40,Wholesale,NZD,AXW291,64,5,5,"3,939.60","2,087.99","19,698.00",,,
SO - 0001521,10-01-2017,19-01-2017,5,Export,NZD,AXW291,21,12,7,"1,065.30",724.40,"7,457.10",,,
SO - 0003239,10-01-2017,24-01-2017,34,Distributor,AUD,AXW291,19,2,6,"3,966.40","1,586.56","23,798.40",,,
SO - 0005857,10-01-2017,14-01-2017,36,Wholesale,USD,AXW291,59,11,9,"1,072.00",600.32,"9,648.00",,,
SO - 0006447,10-01-2017,22-01-2017,7,Distributor,USD,AXW291,9,2,5,"2,680.00","2,117.20","13,400.00",,,
SO - 0007054,10-01-2017,18-01-2017,48,Distributor,GBP,AXW291,46,5,8,"2,525.90","1,818.65","20,207.20",,,
SO - 000657,11-01-2017,22-01-2017,18,Export,USD,AXW291,91,11,10,"1,118.90",492.32,"11,189.00",,,
SO - 0003221,11-01-2017,18-01-2017,49,Wholesale,NZD,AXW291,27,2,9,"2,237.80","1,409.81","20,140.20",,,
SO - 0003879,11-01-2017,18-01-2017,6,Wholesale,USD,AXW291,79,2,9,"1,273.00","1,043.86","11,457.00",,,
SO - 0005097,11-01-2017,26-01-2017,1,Distributor,USD,AXW291,38,4,12,"2,505.80","1,954.52","30,069.60",,,
SO - 000521,12-01-2017,21-01-2017,41,Wholesale,USD,AXW291,29,5,5,"1,105.50",740.69,"5,527.50",,,
SO - 0003792,12-01-2017,20-01-2017,27,Wholesale,USD,AXW291,92,11,7,187.60,146.33,"1,313.20",,,
SO - 0004448,12-01-2017,21-01-2017,44,Wholesale,NZD,AXW291,64,7,11,"3,845.80","2,615.14","42,303.80",,,
SO - 0005756,12-01-2017,15-01-2017,34,Export,NZD,AXW291,63,7,5,"3,631.40","1,561.50","18,157.00",,,
SO - 0007230,12-01-2017,16-01-2017,50,Distributor,USD,AXW291,43,11,6,"3,899.40","3,275.50","23,396.40",,,
SO - 0003422,13-01-2017,20-01-2017,33,Distributor,GBP,AXW291,10,2,11,221.10,121.61,"2,432.10",,,
SO - 0004790,13-01-2017,18-01-2017,29,Export,USD,AXW291,57,5,12,"1,085.40",607.82,"13,024.80",,,
SO - 0007086,13-01-2017,25-01-2017,18,Wholesale,AUD,AXW291,70,2,7,"2,345.00","1,219.40","16,415.00",,,
SO - 0007336,13-01-2017,24-01-2017,4,Distributor,NZD,AXW291,92,2,11,"1,125.60",619.08,"12,381.60",,,
SO - 0008075,13-01-2017,29-01-2017,30,Wholesale,NZD,AXW291,84,2,7,790.60,490.17,"5,534.20",,,
SO - 000893,14-01-2017,01-02-2017,4,Distributor,USD,AXW291,3,14,11,"6,103.70","2,746.67","67,140.70",,,
SO - 0003170,14-01-2017,01-02-2017,23,Distributor,NZD,AXW291,55,14,11,"1,969.80",827.32,"21,667.80",,,
SO - 0003190,14-01-2017,31-01-2017,28,Wholesale,GBP,AXW291,92,6,10,201.00,160.80,"2,010.00",,,
SO - 0003227,14-01-2017,27-01-2017,39,Wholesale,USD,AXW291,44,1,7,"1,065.30",862.89,"7,457.10",,,
SO - 0005834,14-01-2017,23-01-2017,28,Wholesale,NZD,AXW291,68,5,7,"3,906.10","2,538.97","27,342.70",,,
SO - 0006227,14-01-2017,25-01-2017,8,Wholesale,AUD,AXW291,51,7,11,"1,159.10",602.73,"12,750.10",,,
SO - 0007460,14-01-2017,17-01-2017,3,Wholesale,AUD,AXW291,52,1,10,"1,011.70",556.44,"10,117.00",,,
SO - 0001326,15-01-2017,21-01-2017,3,Distributor,NZD,AXW291,47,11,12,201.00,152.76,"2,412.00",,,
SO - 0003367,15-01-2017,25-01-2017,35,Wholesale,NZD,AXW291,36,1,5,"2,968.10","1,187.24","14,840.50",,,
SO - 0003549,15-01-2017,31-01-2017,49,Distributor,USD,AXW291,41,1,12,"1,045.20",480.79,"12,542.40",,,
SO - 0006511,15-01-2017,20-01-2017,45,Distributor,NZD,AXW291,27,11,8,"2,465.60","1,873.86","19,724.80",,,
SO - 0006598,15-01-2017,23-01-2017,9,Wholesale,EUR,AXW291,6,2,11,871.00,540.02,"9,581.00",,,
SO - 0007322,15-01-2017,22-01-2017,11,Wholesale,AUD,AXW291,25,11,5,"4,020.00","3,095.40","20,100.00",,,
SO - 000107,16-01-2017,24-01-2017,14,Distributor,EUR,AXW291,98,1,10,"1,192.60",536.67,"11,926.00",,,
SO - 000593,16-01-2017,27-01-2017,18,Wholesale,AUD,AXW291,7,13,8,"5,547.60","4,216.18","44,380.80",,,
SO - 000654,16-01-2017,29-01-2017,12,Wholesale,NZD,AXW291,40,11,11,"1,051.90",515.43,"11,570.90",,,
SO - 0001892,16-01-2017,25-01-2017,14,Distributor,USD,AXW291,37,5,6,"3,155.70","2,240.55","18,934.20",,,
SO - 0002825,16-01-2017,29-01-2017,47,Wholesale,AUD,AXW291,49,10,5,"3,175.80","1,905.48","15,879.00",,,
SO - 0004556,16-01-2017,19-01-2017,37,Distributor,GBP,AXW291,16,2,10,"1,876.00","1,013.04","18,760.00",,,
SO - 0005016,16-01-2017,20-01-2017,50,Distributor,NZD,AXW291,48,13,10,"2,619.70","1,938.58","26,197.00",,,
SO - 0005689,16-01-2017,28-01-2017,1,Distributor,NZD,AXW291,26,11,5,"1,058.60",783.36,"5,293.00",,,
SO - 0006321,16-01-2017,25-01-2017,12,Distributor,NZD,AXW291,63,2,9,"3,939.60","2,481.95","35,456.40",,,
SO - 000144,17-01-2017,25-01-2017,21,Wholesale,NZD,AXW291,55,5,7,"3,095.40","2,012.01","21,667.80",,,
SO - 000357,17-01-2017,30-01-2017,49,Wholesale,USD,AXW291,16,2,8,891.10,739.61,"7,128.80",,,
SO - 0001466,17-01-2017,27-01-2017,24,Wholesale,NZD,AXW291,94,2,10,"1,172.50",715.23,"11,725.00",,,
SO - 0002331,17-01-2017,25-01-2017,18,Wholesale,NZD,AXW291,66,6,6,"1,822.40","1,111.66","10,934.40",,,
SO - 0002409,17-01-2017,29-01-2017,6,Wholesale,NZD,AXW291,51,7,9,"1,105.50",773.85,"9,949.50",,,
SO - 0002878,17-01-2017,25-01-2017,34,Distributor,NZD,AXW291,40,2,11,"1,025.10",635.56,"11,276.10",,,
SO - 0003178,17-01-2017,22-01-2017,38,Export,AUD,AXW291,11,1,5,737.00,368.50,"3,685.00",,,
SO - 0003419,17-01-2017,29-01-2017,46,Export,NZD,AXW291,79,9,10,"1,098.80",637.30,"10,988.00",,,
SO - 0003637,17-01-2017,30-01-2017,33,Distributor,NZD,AXW291,46,1,6,737.00,302.17,"4,422.00",,,
SO - 000418,18-01-2017,27-01-2017,13,Wholesale,NZD,AXW291,76,13,7,703.50,316.58,"4,924.50",,,
SO - 0001373,18-01-2017,29-01-2017,17,Distributor,NZD,AXW291,60,5,12,"2,532.60","1,848.80","30,391.20",,,
SO - 0003278,18-01-2017,05-02-2017,46,Wholesale,NZD,AXW291,84,5,5,"3,819.00","2,405.97","19,095.00",,,
SO - 0003642,18-01-2017,21-01-2017,4,Export,AUD,AXW291,2,5,6,750.40,487.76,"4,502.40",,,
SO - 0006249,18-01-2017,31-01-2017,15,Distributor,EUR,AXW291,22,1,7,"1,728.60","1,071.73","12,100.20",,,
SO - 0006328,18-01-2017,25-01-2017,27,Wholesale,AUD,AXW291,8,6,8,247.90,114.03,"1,983.20",,,
SO - 0006428,18-01-2017,04-02-2017,22,Export,NZD,AXW291,11,7,12,"2,934.60","1,437.95","35,215.20",,,
SO - 0007229,18-01-2017,04-02-2017,21,Wholesale,NZD,AXW291,34,11,6,"3,879.30","2,094.82","23,275.80",,,
SO - 0007857,18-01-2017,29-01-2017,2,Export,EUR,AXW291,13,4,7,"2,257.90","1,106.37","15,805.30",,,
SO - 0008068,18-01-2017,30-01-2017,12,Wholesale,EUR,AXW291,1,7,7,"3,403.60","2,688.84","23,825.20",,,
SO - 000561,19-01-2017,23-01-2017,48,Wholesale,NZD,AXW291,54,1,7,"1,206.00",663.30,"8,442.00",,,
SO - 0002217,19-01-2017,05-02-2017,21,Wholesale,NZD,AXW291,66,14,9,"1,098.80",483.47,"9,889.20",,,
SO - 0003600,19-01-2017,06-02-2017,45,Wholesale,NZD,AXW291,55,7,5,207.70,145.39,"1,038.50",,,
SO - 0003757,19-01-2017,23-01-2017,44,Wholesale,USD,AXW291,83,11,9,"2,445.50","1,393.94","22,009.50",,,
SO - 0003773,19-01-2017,28-01-2017,37,Wholesale,AUD,AXW291,9,7,7,"2,479.00","2,007.99","17,353.00",,,
SO - 0004807,19-01-2017,04-02-2017,14,Wholesale,NZD,AXW291,20,7,10,"1,005.00",582.90,"10,050.00",,,
SO - 0005301,19-01-2017,26-01-2017,39,Export,EUR,AXW291,68,8,7,254.60,175.67,"1,782.20",,,
SO - 0005616,19-01-2017,04-02-2017,10,Wholesale,NZD,AXW291,46,5,7,"1,996.60","1,557.35","13,976.20",,,
SO - 0007476,19-01-2017,04-02-2017,2,Export,EUR,AXW291,36,13,11,"2,432.10","1,970.00","26,753.10",,,
SO - 0001344,20-01-2017,02-02-2017,49,Wholesale,USD,AXW291,15,7,5,"2,271.30","1,294.64","11,356.50",,,
SO - 0002122,20-01-2017,25-01-2017,42,Wholesale,NZD,AXW291,71,1,6,884.40,689.83,"5,306.40",,,
SO - 0002222,20-01-2017,06-02-2017,19,Wholesale,USD,AXW291,93,1,12,"1,842.50",902.83,"22,110.00",,,
SO - 0005352,20-01-2017,24-01-2017,19,Distributor,EUR,AXW291,54,11,5,"1,072.00",761.12,"5,360.00",,,
SO - 000219,21-01-2017,28-01-2017,11,Export,NZD,AXW291,9,9,8,"1,748.70","1,101.68","13,989.60",,,
SO - 000619,21-01-2017,02-02-2017,37,Distributor,USD,AXW291,76,2,8,"1,078.70",755.09,"8,629.60",,,
SO - 0001310,21-01-2017,31-01-2017,13,Wholesale,AUD,AXW291,41,10,7,737.00,626.45,"5,159.00",,,
SO - 0002610,21-01-2017,26-01-2017,49,Wholesale,USD,AXW291,47,5,10,"1,788.90",751.34,"17,889.00",,,
SO - 0003341,21-01-2017,25-01-2017,12,Wholesale,NZD,AXW291,50,5,12,"2,224.40","1,757.28","26,692.80",,,
SO - 0003868,21-01-2017,25-01-2017,1,Wholesale,EUR,AXW291,21,1,8,"2,512.50","1,331.63","20,100.00",,,
SO - 0004528,21-01-2017,03-02-2017,24,Wholesale,AUD,AXW291,33,11,11,"6,358.30","3,942.15","69,941.30",,,
SO - 0006086,21-01-2017,02-02-2017,15,Distributor,EUR,AXW291,10,2,12,"3,966.40","1,705.55","47,596.80",,,
SO - 0006234,21-01-2017,28-01-2017,5,Wholesale,USD,AXW291,59,13,6,"1,983.20","1,269.25","11,899.20",,,
SO - 0006644,21-01-2017,03-02-2017,18,Distributor,USD,AXW291,17,11,7,"5,507.40","2,533.40","38,551.80",,,
SO - 0007123,21-01-2017,30-01-2017,38,Distributor,NZD,AXW291,93,9,11,"1,005.00",532.65,"11,055.00",,,
SO - 0003397,22-01-2017,28-01-2017,5,Wholesale,USD,AXW291,10,13,10,201.00,142.71,"2,010.00",,,
SO - 0004965,22-01-2017,07-02-2017,48,Distributor,USD,AXW291,45,14,7,"3,825.70","1,874.59","26,779.90",,,
SO - 0006379,22-01-2017,27-01-2017,13,Wholesale,USD,AXW291,28,5,8,"1,038.50",726.95,"8,308.00",,,
SO - 0007641,22-01-2017,25-01-2017,40,Distributor,GBP,AXW291,88,9,10,201.00,168.84,"2,010.00",,,
SO - 0007767,22-01-2017,28-01-2017,47,Wholesale,NZD,AXW291,76,1,6,"1,842.50","1,252.90","11,055.00",,,
SO - 0004252,23-01-2017,05-02-2017,16,Export,NZD,AXW291,28,5,10,"1,005.00",683.40,"10,050.00",,,
SO - 0005888,23-01-2017,04-02-2017,12,Distributor,NZD,AXW291,68,2,9,"3,926.20","3,140.96","35,335.80",,,
SO - 0006536,23-01-2017,08-02-2017,10,Wholesale,AUD,AXW291,26,7,10,"1,085.40",662.09,"10,854.00",,,
SO - 0006863,23-01-2017,01-02-2017,39,Wholesale,EUR,AXW291,9,13,5,944.70,755.76,"4,723.50",,,
SO - 0007141,23-01-2017,02-02-2017,7,Wholesale,USD,AXW291,4,11,8,"2,619.70","2,174.35","20,957.60",,,
SO - 0002449,24-01-2017,29-01-2017,30,Wholesale,USD,AXW291,33,1,7,"1,145.70",641.59,"8,019.90",,,
SO - 0003322,24-01-2017,28-01-2017,5,Wholesale,GBP,AXW291,80,7,7,"5,272.90","4,165.59","36,910.30",,,
SO - 0003376,24-01-2017,31-01-2017,41,Distributor,NZD,AXW291,30,5,9,187.60,138.82,"1,688.40",,,
SO - 0004653,24-01-2017,10-02-2017,21,Wholesale,GBP,AXW291,24,1,9,"1,232.80",788.99,"11,095.20",,,
SO - 0004727,24-01-2017,11-02-2017,5,Export,EUR,AXW291,49,1,9,"2,814.00","1,997.94","25,326.00",,,
SO - 000185,25-01-2017,05-02-2017,8,Export,AUD,AXW291,26,5,9,"5,447.10","3,540.62","49,023.90",,,
SO - 0005852,25-01-2017,28-01-2017,23,Wholesale,NZD,AXW291,35,5,9,938.00,750.40,"8,442.00",,,
SO - 0006229,25-01-2017,08-02-2017,32,Wholesale,NZD,AXW291,5,11,9,"2,278.00","1,161.78","20,502.00",,,
SO - 0007796,25-01-2017,03-02-2017,27,Distributor,USD,AXW291,49,7,5,"1,782.20","1,497.05","8,911.00",,,
SO - 0001851,26-01-2017,04-02-2017,17,Export,USD,AXW291,21,11,9,"2,740.30","1,205.73","24,662.70",,,
SO - 0003418,26-01-2017,07-02-2017,40,Export,USD,AXW291,87,11,12,917.90,523.20,"11,014.80",,,
SO - 0003535,26-01-2017,06-02-2017,10,Wholesale,AUD,AXW291,59,11,5,"1,976.50","1,462.61","9,882.50",,,
SO - 0004051,26-01-2017,08-02-2017,10,Wholesale,USD,AXW291,76,7,8,"1,943.00","1,224.09","15,544.00",,,
SO - 0005008,26-01-2017,10-02-2017,38,Distributor,AUD,AXW291,93,11,11,850.90,697.74,"9,359.90",,,
SO - 0005207,26-01-2017,05-02-2017,32,Wholesale,NZD,AXW291,34,2,10,857.60,497.41,"8,576.00",,,
SO - 0005249,26-01-2017,29-01-2017,15,Wholesale,NZD,AXW291,55,2,11,"1,192.60",632.08,"13,118.60",,,
SO - 0006241,26-01-2017,03-02-2017,44,Wholesale,NZD,AXW291,9,1,10,"1,065.30",628.53,"10,653.00",,,
SO - 0007164,26-01-2017,31-01-2017,2,Wholesale,USD,AXW291,64,2,8,"2,311.50","1,386.90","18,492.00",,,
SO - 0004444,27-01-2017,09-02-2017,14,Wholesale,GBP,AXW291,42,1,5,"1,051.90",746.85,"5,259.50",,,
SO - 0004566,27-01-2017,14-02-2017,40,Export,AUD,AXW291,97,7,10,"3,839.10","2,149.90","38,391.00",,,
SO - 0004671,27-01-2017,03-02-2017,37,Wholesale,USD,AXW291,12,1,11,201.00,118.59,"2,211.00",,,
SO - 0007527,27-01-2017,04-02-2017,25,Wholesale,AUD,AXW291,93,13,6,"1,159.10",869.33,"6,954.60",,,
SO - 0004766,28-01-2017,04-02-2017,47,Distributor,EUR,AXW291,63,11,9,"2,425.40","1,479.49","21,828.60",,,
SO - 0007205,28-01-2017,14-02-2017,5,Export,USD,AXW291,35,1,7,938.00,712.88,"6,566.00",,,
SO - 0001700,29-01-2017,05-02-2017,41,Wholesale,NZD,AXW291,15,1,8,857.60,686.08,"6,860.80",,,
SO - 0004950,29-01-2017,09-02-2017,46,Distributor,NZD,AXW291,48,2,9,"3,825.70","3,098.82","34,431.30",,,
SO - 0003330,30-01-2017,08-02-2017,27,Export,NZD,AXW291,22,7,9,"1,306.50",535.67,"11,758.50",,,
SO - 0004404,30-01-2017,08-02-2017,21,Wholesale,AUD,AXW291,100,2,6,"3,906.10","2,031.17","23,436.60",,,
SO - 0004681,30-01-2017,11-02-2017,1,Distributor,EUR,AXW291,14,2,11,"5,045.10","3,027.06","55,496.10",,,
SO - 0005128,30-01-2017,13-02-2017,43,Distributor,USD,AXW291,3,11,5,227.80,161.74,"1,139.00",,,
SO - 0005510,30-01-2017,14-02-2017,15,Wholesale,AUD,AXW291,35,13,9,"1,876.00","1,275.68","16,884.00",,,
SO - 0006238,30-01-2017,04-02-2017,2,Wholesale,NZD,AXW291,55,2,9,"2,338.30","1,286.07","21,044.70",,,
SO - 0007680,30-01-2017,16-02-2017,30,Wholesale,AUD,AXW291,93,11,11,"1,755.40",754.82,"19,309.40",,,
SO - 0007828,30-01-2017,14-02-2017,3,Export,USD,AXW291,54,5,10,"3,470.60","2,845.89","34,706.00",,,
SO - 0008076,30-01-2017,09-02-2017,46,Wholesale,NZD,AXW291,41,7,5,"1,038.50",664.64,"5,192.50",,,
SO - 000531,31-01-2017,04-02-2017,33,Wholesale,EUR,AXW291,85,4,6,"1,172.50",809.03,"7,035.00",,,
SO - 0002336,31-01-2017,04-02-2017,20,Distributor,NZD,AXW291,83,7,9,"3,457.20","1,452.02","31,114.80",,,
SO - 0002721,31-01-2017,16-02-2017,17,Wholesale,NZD,AXW291,68,14,10,"6,311.40","4,986.01","63,114.00",,,
SO - 0003215,31-01-2017,11-02-2017,16,Wholesale,EUR,AXW291,73,7,11,174.20,127.17,"1,916.20",,,
SO - 0003944,31-01-2017,05-02-2017,44,Wholesale,NZD,AXW291,100,13,12,268.00,171.52,"3,216.00",,,
SO - 0006288,31-01-2017,03-02-2017,41,Distributor,USD,AXW291,34,4,9,"1,038.50",571.18,"9,346.50",,,
SO - 0006474,31-01-2017,14-02-2017,28,Distributor,NZD,AXW291,50,5,7,"6,217.60","4,974.08","43,523.20",,,
SO - 0007429,31-01-2017,10-02-2017,34,Wholesale,NZD,AXW291,42,7,6,"3,966.40","2,974.80","23,798.40",,,
SO - 000289,01-02-2017,10-02-2017,24,Wholesale,EUR,AXW291,70,2,7,"1,996.60","1,397.62","13,976.20",,,
SO - 000897,01-02-2017,08-02-2017,14,Distributor,NZD,AXW291,18,11,11,"3,008.30","1,594.40","33,091.30",,,
SO - 0001604,01-02-2017,04-02-2017,44,Export,EUR,AXW291,43,2,6,"5,815.60","3,082.27","34,893.60",,,
SO - 0002055,01-02-2017,15-02-2017,4,Wholesale,NZD,AXW291,55,12,5,"1,185.90",960.58,"5,929.50",,,
SO - 0002824,01-02-2017,16-02-2017,11,Wholesale,EUR,AXW291,82,3,8,"1,092.10",589.73,"8,736.80",,,
SO - 0003708,01-02-2017,19-02-2017,14,Distributor,NZD,AXW291,55,5,6,187.60,146.33,"1,125.60",,,
SO - 0004298,01-02-2017,08-02-2017,19,Distributor,USD,AXW291,43,12,9,"6,432.00","4,373.76","57,888.00",,,
SO - 0006139,01-02-2017,11-02-2017,29,Distributor,NZD,AXW291,51,1,7,"3,865.90","1,701.00","27,061.30",,,
SO - 0006538,01-02-2017,04-02-2017,19,Wholesale,AUD,AXW291,23,9,8,"1,098.80",450.51,"8,790.40",,,
SO - 0007366,01-02-2017,06-02-2017,36,Export,NZD,AXW291,62,4,10,790.60,545.51,"7,906.00",,,
SO - 0007450,01-02-2017,13-02-2017,33,Distributor,USD,AXW291,49,13,9,884.40,548.33,"7,959.60",,,
